scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target,alpha_accuracy,content,alpha_target_sd,alpha_accuracy_sd,content_sd
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_2,Prior,,-0.24001321946395143,0.4546582776453382,0.702927375729648,0.16810447768458198,0.14831347720962923,0.17982812117192207
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_2,Debunk,0.56753,-0.30533128208005883,0.43289245381318275,0.6402342776424449,0.1295495143610249,0.14591801375667734,0.1829468555982124
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_4,Prior,,-0.33478424101408083,0.4182080732569835,0.6015921756024925,0.10993002742656115,0.14391628514874683,0.18258336208239073
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.83163,-0.35075295817821905,0.4077080370363088,0.5715597482805741,0.09777334719360094,0.1420208276660697,0.1782484833353423
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_5,Prior,,-0.3506894165390833,0.40729450582335314,0.5717688841521887,0.09940465520097627,0.14179041626207683,0.177843148339709
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_5,Debunk,0.87115,-0.3614158757602114,0.4002141439655352,0.5514076913665783,0.09137982771146001,0.1405308606639959,0.17204159706286004
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_3,Prior,,-0.3050742904314557,0.43317556373503385,0.644058112192457,0.12997543549004495,0.14562755638626004,0.18502083947173478
All,Differing-content,447,0.8,0.0225,0.5,0.0225,0.5,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.75476,-0.33431792404696303,0.4175984972261236,0.6024508180647897,0.10911225256676003,0.14376523196156607,0.1819751888476749
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_1,Prior,,6.577853569347017e-05,0.19962703582262067,0.199886678168195,0.05,0.14999999999919672,0.14999999999919672
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.71003,-0.005764661714595135,0.22256487274813463,0.1806854358048149,0.049181147315963444,0.15427671358605774,0.13564826240194694
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_2,Prior,,-0.006034831116602067,0.22391929677912098,0.17922830992145541,0.04874003209677781,0.15564287982316632,0.13696178269055728
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.75885,-0.011065179714402382,0.24551721545044458,0.16371181778518154,0.04790747979735851,0.15922470654735363,0.1249851100741409
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_4,Prior,,-0.013741275116153476,0.26240896911448075,0.1491531293186129,0.04653867940022749,0.1628205278553741,0.11620439060342065
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.81724,-0.017228845198434435,0.2828512035859743,0.1393119916712764,0.0460021132197712,0.1634694740467584,0.10749000292978048
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_5,Prior,,-0.016886619384788196,0.2856084947137892,0.14000828055056821,0.046089412394818584,0.1658016363007456,0.1093579101394658
All,Differing-content,175,0.2,0.0225,0.2,0.0225,0.5,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.84176,-0.01961298770640733,0.30376687347620246,0.13267596897227976,0.04573013685604397,0.16559484345863906,0.10244162697657841
